TipoError,Cantidad
211987286864069,1
211987379096854,1
211987380534406,1
211987388245971,1
211987417193915,1
211987467855228,1
211987525939722,1
211987560428107,1
211987811853745,1
211987840894838,1
211987853521208,1
211987859872953,1
211987914418525,1
211987930936506,1
211987935285984,1
211987951500992,1
211988024725611,1
211988025257886,1
211988025271095,1
211988025783793,1
211988137704903,1
211988149037266,1
211988150944663,1
211988163277140,1
211988192586269,1
211988193267458,1
211988193286878,1
211988193298143,1
211988345659117,1
211988368402710,1
211988391796545,1
211988397962665,1
211988534543612,1
211988747816700,1
211988771752107,1
211988875743546,1
211988955128614,1
211989026090384,1
211989057929128,1
211989097270131,1
211989173625016,1
211989174378580,1
211989199711673,1
211989208980645,1
211989236452619,1
211989322226596,1
211989471062162,1
211989491153460,1
211989515840066,1
211989541848341,1
211989542800040,1
211989554063161,1
211989555007327,1
211989614800917,1
211989634116076,1
211989677078832,1
211989749734226,1
211989749979229,1
211989896997722,1
211989982200298,1
211990105536828,1
211990109326356,1
211990120085553,1
211990305146002,1
211990332948239,1
211990366847401,1
211990389971141,1
211990627663513,1
211990637397895,1
211990663944212,1
211990672713531,1
211990700555796,1
211990817370456,1
211990826365342,1
211990835160100,1
211990897258931,1
211990899221751,1
211990902236870,1
211990906037288,1
211990923641780,1
211990986223101,1
211991064111896,1
211991205068983,1
211991320658290,1
211991323900345,1
211991379385651,1
211991461191990,1
211991497527530,1
211991588242539,1
211991626206358,1
211991741537197,1
211991777207441,1
211991777228975,1
211991777240074,1
211991779473754,1
211991791235156,1
211991817564253,1
211991820065695,1
211991855205873,1
211991883781686,1
211991892276470,1
211991965826691,1
211991983598860,1
211991989414614,1
211992001558454,1
211992015350018,1
211992015424480,1
211992038103158,1
211992040309299,1
211992051136125,1
211992090228216,1
211992162845773,1
211992213751930,1
211992224716576,1
211992237712165,1
211992238094337,1
211992295037712,1
211992329775498,1
211992342980409,1
211992365977782,1
211992467317539,1
211992469765174,1
211992487936975,1
211992508586498,1
211992555584868,1
211992587385162,1
211992587408694,1
211992587573698,1
211992587596954,1
211992587610882,1
211992620167044,1
211992622767597,1
211992668103034,1
211992688668362,1
211992789066543,1
211992843484832,1
211992875183241,1
211992899033019,1
211992899243609,1
211992902388093,1
211992937520586,1
211992989078066,1
211993067629220,1
211993072805453,1
211993106334202,1
211993117652107,1
211993147053015,1
211993150864425,1
211993266192490,1
211993267030629,1
211993269426855,1
211993280955214,1
211993298104763,1
211993305084121,1
211993344695652,1
211993357363574,1
211993366510923,1
211993383146430,1
211993389812585,1
211993397642234,1
211993397719583,1
211993406683570,1
211993443998122,1
211993624466831,1
211993625833761,1
